country,segment,sales_rep_id,sales_team_name,pcid_count,impact_calls_90d,impact_calls_per_account,segment_avg_coverage,too_big
DACH,ACC,44716,DE-M-ACCDE-DUSS-4,93,282,3,1.02,false
DACH,ACC,44719,CH-M-ACCDE-ZRH-1,87,186,2,1.02,true
DACH,ACC,44720,DE-M-ACCDE-DUB-2,104,239,2,1.02,true
DACH,ACC,44722,DE-M-ACCDE-DUSS-3,269,206,0,1.02,true
DACH,ACC,45423,DE-M-ACCDE-DUB-1,134,121,0,1.02,true
DACH,ACC,45427,DE-M-ACCDE-DUSS-4,74,163,2,1.02,false
DACH,ACC,45894,DE-M-ACCDE-DUB-2,119,,,1.02,
DACH,ACC,45896,DE-M-ACCDE-DUSS-2,101,,,1.02,false
DACH,ACC,45924,DE-M-ACCDE-DUSS-3,236,,,1.02,
DACH,ISDCA,16627,DE-ISDCA-DE-DUSS-1,20,88,4,2.5,true
DACH,ISDCA,45111,DE-ISDCA-DE-DUSS-1,36,58,1,2.5,true
DACH,L,5898,DE-L-DE-DUSS-1,42,135,3,2.0,false
DACH,L,7261,DE-L-DE-DUSS-1,41,120,2,2.0,false
DACH,L,12199,DE-L-DE-DUSS-2,47,124,2,2.0,false
DACH,L,13395,DE-L-SA-DUSS-1,85,196,2,2.0,false
DACH,L,13499,DE-L-DE-DUSS-2,46,114,2,2.0,false
DACH,L,13503,DE-L-SA-DUSS-1,90,222,2,2.0,false
DACH,L,14348,DE-L-DE-DUSS-1,17,11,0,2.0,false
DACH,L,14778,DE-L-DE-DUSS-2,45,151,3,2.0,false
DACH,L,15323,DE-L-DE-DUSS-2,42,132,3,2.0,false
DACH,L,15830,DE-L-DE-DUSS-2,42,121,2,2.0,false
DACH,L,17426,DE-L-DE-DUSS-1,42,66,1,2.0,false
DACH,L,18849,DE-L-DE-DUSS-1,47,100,2,2.0,false
DACH,L,19115,DE-L-SA-DUSS-1,83,156,1,2.0,true
DACH,L,21204,DE-L-SA-DUSS-1,87,249,2,2.0,false
DACH,L,23577,DE-L-DE-DUSS-2,45,122,2,2.0,false
DACH,L,38749,DE-L-DE-DUSS-2,46,106,2,2.0,false
DACH,L,44596,DE-L-DE-DUSS-2,41,147,3,2.0,false
DACH,M,4867,DE-M-SA-DUSS-1,161,302,1,1.23,true
DACH,M,5484,DE-M-DE-DUSS-3,103,148,1,1.23,true
DACH,M,9206,DE-M-DE-DUSS-1,93,191,2,1.23,false
DACH,M,9858,DE-M-PSE-DUSS-1,138,258,1,1.23,true
DACH,M,10167,DE-M-DE-DUSS-3,110,126,1,1.23,true
DACH,M,11649,DE-M-DE-DUSS-1,99,204,2,1.23,false
DACH,M,11873,DE-M-SA-DUSS-1,78,2,0,1.23,false
DACH,M,12213,DE-M-DE-DUSS-3,105,197,1,1.23,true
DACH,M,12240,DE-M-DE-DUB-1,96,188,1,1.23,true
DACH,M,14402,DE-M-DE-DUSS-1,71,140,1,1.23,false
DACH,M,14633,DE-M-DE-DUB-1,80,120,1,1.23,true
DACH,M,19328,DE-M-DE-DUSS-1,95,264,2,1.23,false
DACH,M,20198,DE-M-DE-DUSS-3,109,159,1,1.23,true
